,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,2633.137458865322,0.0008005110000000037,"[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]",10,0.05,2000
1,10,1608.7340040957392,0.024657367000000097,"[5, 18, 2, 16, 13, 12, 11, 7, 9, 0, 19, 8, 6, 15, 4, 1, 17, 10, 14, 3]",10,0.05,2000
2,25,1607.5774043666283,0.05324532999999998,"[5, 18, 2, 16, 13, 12, 11, 7, 9, 8, 19, 0, 6, 15, 4, 1, 17, 10, 14, 3]",10,0.05,2000
3,50,1607.5774043666283,0.09773696600000004,"[5, 18, 2, 16, 13, 12, 11, 7, 9, 8, 19, 0, 6, 15, 4, 1, 17, 10, 14, 3]",10,0.05,2000
4,75,1607.5774043666283,0.1398190669999999,"[5, 18, 2, 16, 13, 12, 11, 7, 9, 8, 19, 0, 6, 15, 4, 1, 17, 10, 14, 3]",10,0.05,2000
5,100,1607.5774043666283,0.18330837999999994,"[5, 18, 2, 16, 13, 12, 11, 7, 9, 8, 19, 0, 6, 15, 4, 1, 17, 10, 14, 3]",10,0.05,2000
6,125,1495.7877903480965,0.22554984,"[18, 5, 2, 16, 13, 12, 11, 7, 9, 8, 19, 0, 6, 15, 4, 1, 17, 10, 14, 3]",10,0.05,2000
7,150,1495.7877903480965,0.26851736299999995,"[18, 5, 2, 16, 13, 12, 11, 7, 9, 8, 19, 0, 6, 15, 4, 1, 17, 10, 14, 3]",10,0.05,2000
8,175,1477.7692761141682,0.3113511339999999,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 8, 19, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
9,200,1472.7888144612928,0.3577444380000001,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
10,300,1472.7888144612928,0.49215088399999996,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
11,400,1472.7888144612928,0.49215088399999996,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
12,500,1472.7888144612928,0.49215088399999996,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
13,600,1472.7888144612928,0.49215088399999996,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
14,700,1472.7888144612928,0.49215088399999996,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
15,800,1472.7888144612928,0.49215088399999996,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
16,900,1472.7888144612928,0.49215088399999996,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
17,1000,1472.7888144612928,0.49215088399999996,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
18,1500,1472.7888144612928,0.49215088399999996,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
19,2000,1472.7888144612928,0.49215088399999996,"[14, 5, 2, 16, 13, 12, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 18, 3]",10,0.05,2000
20,0,2633.137458865322,0.0007490420000000331,"[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]",10,0.1,2000
21,10,1608.7340040957392,0.020789859999999827,"[5, 18, 2, 16, 13, 12, 11, 7, 9, 0, 19, 8, 6, 15, 4, 1, 17, 10, 14, 3]",10,0.1,2000
22,25,1599.9496338920085,0.04917364299999982,"[5, 18, 2, 16, 12, 13, 11, 7, 9, 0, 19, 8, 6, 15, 4, 1, 17, 10, 14, 3]",10,0.1,2000
23,50,1446.5129593723714,0.09301826699999993,"[3, 18, 2, 16, 12, 13, 11, 7, 9, 0, 8, 19, 6, 15, 4, 1, 17, 10, 14, 5]",10,0.1,2000
24,75,1446.5129593723714,0.1395864899999999,"[3, 18, 2, 16, 12, 13, 11, 7, 9, 0, 8, 19, 6, 15, 4, 1, 17, 10, 14, 5]",10,0.1,2000
25,100,1446.5129593723714,0.183215452,"[3, 18, 2, 16, 12, 13, 11, 7, 9, 0, 8, 19, 6, 15, 4, 1, 17, 10, 14, 5]",10,0.1,2000
26,125,1443.535629205307,0.22623375899999987,"[3, 18, 2, 16, 12, 13, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 14, 5]",10,0.1,2000
27,150,1443.535629205307,0.2709218689999999,"[3, 18, 2, 16, 12, 13, 11, 7, 9, 19, 8, 0, 6, 15, 4, 1, 17, 10, 14, 5]",10,0.1,2000
28,175,1440.1778885352437,0.31539050999999985,"[3, 19, 2, 16, 12, 13, 11, 7, 9, 18, 8, 0, 6, 15, 4, 1, 17, 10, 14, 5]",10,0.1,2000
29,200,1440.1778885352437,0.3600037429999998,"[3, 19, 2, 16, 12, 13, 11, 7, 9, 18, 8, 0, 6, 15, 4, 1, 17, 10, 14, 5]",10,0.1,2000
30,300,1372.9070961686912,0.519442929,"[19, 3, 16, 2, 12, 13, 11, 7, 9, 18, 8, 0, 6, 15, 4, 1, 17, 5, 10, 14]",10,0.1,2000
31,400,1292.5113914880822,0.6761662399999999,"[19, 3, 16, 2, 12, 13, 17, 11, 7, 9, 18, 8, 0, 6, 1, 4, 15, 5, 10, 14]",10,0.1,2000
