,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0008463100000000168,7247.8771106265995,True,10,0.1,50
1,1,0.07086526999999987,5718.527995387012,True,10,0.1,50
2,2,0.14150950299999998,5718.527995387012,True,10,0.1,50
3,3,0.210012651,5718.527995387012,True,10,0.1,50
4,4,0.275339625,5718.527995387012,True,10,0.1,50
5,5,0.343686666,5718.527995387012,True,10,0.1,50
6,6,0.416507148,5718.527995387012,True,10,0.1,50
7,7,0.4830910639999999,5718.527995387012,True,10,0.1,50
8,8,0.5466912479999999,5718.527995387012,True,10,0.1,50
9,9,0.6143835079999997,5718.527995387012,True,10,0.1,50
10,10,0.6809931769999997,5718.527995387012,True,10,0.1,50
11,11,0.7580163790000001,5718.527995387012,True,10,0.1,50
12,12,0.833228179,5718.527995387012,True,10,0.1,50
13,13,0.9122845450000001,5718.527995387012,True,10,0.1,50
14,14,0.9892469129999999,5718.527995387012,True,10,0.1,50
15,15,1.0681948839999997,5718.527995387012,True,10,0.1,50
16,16,1.1461994100000001,5718.527995387012,True,10,0.1,50
17,17,1.225616806,5718.527995387012,True,10,0.1,50
18,18,1.3034549239999997,5718.527995387012,True,10,0.1,50
19,19,1.370963564,5718.527995387012,True,10,0.1,50
20,20,1.436647848,5718.527995387012,True,10,0.1,50
21,21,1.5228495279999998,5718.527995387012,True,10,0.1,50
22,22,1.598127589,5718.527995387012,True,10,0.1,50
23,23,1.672059411,5718.527995387012,True,10,0.1,50
24,24,1.741695125,5718.527995387012,True,10,0.1,50
25,25,1.810440584,5718.527995387012,True,10,0.1,50
26,26,1.877453501,5718.527995387012,True,10,0.1,50
27,27,1.94668635,5718.527995387012,True,10,0.1,50
28,28,2.0168805929999998,5718.527995387012,True,10,0.1,50
29,29,2.089504316,5718.527995387012,True,10,0.1,50
30,30,2.158844523,5718.527995387012,True,10,0.1,50
31,31,2.234143864,5718.527995387012,True,10,0.1,50
32,32,2.303921772,5718.527995387012,True,10,0.1,50
33,33,2.3712008840000003,5718.527995387012,True,10,0.1,50
34,34,2.4375840770000003,5718.527995387012,True,10,0.1,50
35,35,2.5037185629999996,5718.527995387012,True,10,0.1,50
36,36,2.5689971719999996,5718.527995387012,True,10,0.1,50
37,37,2.63430771,5718.527995387012,True,10,0.1,50
38,38,2.701646267,5718.527995387012,True,10,0.1,50
39,39,2.7678771200000005,5718.527995387012,True,10,0.1,50
40,40,2.8308839290000005,5718.527995387012,True,10,0.1,50
41,41,2.8941712710000003,5718.527995387012,True,10,0.1,50
42,42,2.9598096160000003,5718.527995387012,True,10,0.1,50
43,43,3.02476449,5718.527995387012,True,10,0.1,50
44,44,3.0932993260000003,5718.527995387012,True,10,0.1,50
45,45,3.1578934280000004,5718.527995387012,True,10,0.1,50
46,46,3.223487939,5718.527995387012,True,10,0.1,50
47,47,3.2899348020000003,5718.527995387012,True,10,0.1,50
48,48,3.352573391,5718.527995387012,True,10,0.1,50
49,49,3.424077629,5718.527995387012,True,10,0.1,50
50,50,3.490298881,5718.527995387012,True,10,0.1,50
51,51,0.0034315340000006245,7247.8771106265995,True,50,0.1,50
52,52,0.13337245200000059,5718.527995387012,True,50,0.1,50
53,53,0.26266730100000046,5718.527995387012,True,50,0.1,50
54,54,0.4162905720000003,5718.527995387012,True,50,0.1,50
55,55,0.5658400600000002,5718.527995387012,True,50,0.1,50
56,56,0.7182430050000006,5718.527995387012,True,50,0.1,50
57,57,0.8764974220000008,5718.527995387012,True,50,0.1,50
58,58,1.0244951750000002,5718.527995387012,True,50,0.1,50
59,59,1.1748903420000003,5718.527995387012,True,50,0.1,50
60,60,1.327163241,5718.527995387012,True,50,0.1,50
61,61,1.477666547,5718.527995387012,True,50,0.1,50
62,62,1.6368775290000004,5718.527995387012,True,50,0.1,50
63,63,1.7912698580000006,5718.527995387012,True,50,0.1,50
64,64,1.9642021510000003,5718.527995387012,True,50,0.1,50
65,65,2.142272418,5718.527995387012,True,50,0.1,50
66,66,2.3224373070000004,5718.527995387012,True,50,0.1,50
67,67,2.5015251270000007,5718.527995387012,True,50,0.1,50
68,68,2.6807064900000004,5718.527995387012,True,50,0.1,50
69,69,2.8699920050000003,5718.527995387012,True,50,0.1,50
70,70,3.058492244,5718.527995387012,True,50,0.1,50
71,71,3.357434789,5718.527995387012,True,50,0.1,50
72,72,3.542105243000001,5718.527995387012,True,50,0.1,50
73,73,3.7272891990000003,5718.527995387012,True,50,0.1,50
74,74,3.887147400000001,5718.527995387012,True,50,0.1,50
75,75,4.041433586000001,5718.527995387012,True,50,0.1,50
76,76,4.191205042000001,5718.527995387012,True,50,0.1,50
77,77,4.3442635019999996,5718.527995387012,True,50,0.1,50
78,78,4.498810832000001,5718.527995387012,True,50,0.1,50
79,79,4.654494195000001,5718.527995387012,True,50,0.1,50
80,80,4.829774539,5718.527995387012,True,50,0.1,50
81,81,5.014256278,5718.527995387012,True,50,0.1,50
82,82,5.190546247000001,5718.527995387012,True,50,0.1,50
83,83,5.346868015000001,5718.527995387012,True,50,0.1,50
84,84,5.502763409000001,5718.527995387012,True,50,0.1,50
85,85,5.658860758,5718.527995387012,True,50,0.1,50
86,86,5.815672288000001,5718.527995387012,True,50,0.1,50
87,87,5.966476161,5718.527995387012,True,50,0.1,50
88,88,6.115368266,5718.527995387012,True,50,0.1,50
89,89,6.275674452,5718.527995387012,True,50,0.1,50
90,90,6.426713078,5718.527995387012,True,50,0.1,50
91,91,6.577945893,5718.527995387012,True,50,0.1,50
92,92,6.728328891000001,5718.527995387012,True,50,0.1,50
93,93,6.883268249000001,5718.527995387012,True,50,0.1,50
94,94,7.034548963,5718.527995387012,True,50,0.1,50
95,95,7.183456543000001,5718.527995387012,True,50,0.1,50
96,96,7.336669305,5718.527995387012,True,50,0.1,50
97,97,7.4881531830000005,5718.527995387012,True,50,0.1,50
98,98,7.643206084,5718.527995387012,True,50,0.1,50
99,99,7.797525960000001,5718.527995387012,True,50,0.1,50
100,100,7.948342717,5718.527995387012,True,50,0.1,50
101,101,8.096569522,5718.527995387012,True,50,0.1,50
102,102,0.00645058499999962,7247.8771106265995,True,100,0.1,50
103,103,0.2159467450000001,5718.527995387012,True,100,0.1,50
104,104,0.41271891800000127,5718.527995387012,True,100,0.1,50
105,105,0.6711445050000009,5718.527995387012,True,100,0.1,50
106,106,0.9279079729999999,5718.527995387012,True,100,0.1,50
107,107,1.1883678710000005,5718.527995387012,True,100,0.1,50
108,108,1.4521872340000002,5718.527995387012,True,100,0.1,50
109,109,1.7120425430000008,5718.527995387012,True,100,0.1,50
110,110,1.968439042,5718.527995387012,True,100,0.1,50
111,111,2.227213798000001,5718.527995387012,True,100,0.1,50
112,112,2.485681265,5718.527995387012,True,100,0.1,50
113,113,2.750834770000001,5718.527995387012,True,100,0.1,50
