,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,2633.137458865322,0.00013685399999996406,"[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]",exponential,200,0.005,0.001,199.99986314604683,200,1200
1,100,1654.8927126270414,0.018673128000000094,"[15, 11, 7, 1, 17, 16, 18, 9, 6, 4, 8, 19, 0, 3, 5, 14, 10, 12, 13, 2]",exponential,200,0.005,0.001,199.98132774368716,200,1200
2,200,1966.4589548750944,0.03711737699999995,"[3, 19, 1, 2, 16, 17, 9, 4, 12, 13, 7, 11, 18, 15, 0, 8, 10, 14, 5, 6]",exponential,200,0.005,0.001,199.96288606703615,200,1200
3,300,2086.414146310304,0.05726754600000006,"[0, 5, 6, 15, 9, 7, 12, 1, 13, 17, 4, 8, 11, 2, 19, 3, 10, 14, 16, 18]",exponential,200,0.005,0.001,199.94274065214705,200,1200
4,400,1630.8350991034936,0.0765393270000001,"[5, 3, 19, 2, 9, 7, 11, 1, 17, 13, 4, 6, 15, 18, 0, 8, 10, 14, 16, 12]",exponential,200,0.005,0.001,199.92347531680335,200,1200
5,500,1608.4939921158427,0.09644331200000011,"[12, 16, 2, 0, 7, 15, 4, 1, 11, 13, 17, 9, 6, 3, 8, 18, 10, 5, 14, 19]",exponential,200,0.005,0.001,199.9035799375438,200,1200
6,600,1355.5211493328177,0.1174635100000001,"[3, 2, 12, 13, 4, 9, 7, 1, 11, 17, 16, 15, 6, 0, 18, 8, 14, 5, 10, 19]",exponential,200,0.005,0.001,199.88257097743843,200,1200
7,700,1184.689828856624,0.13970903000000012,"[3, 2, 16, 13, 12, 17, 7, 11, 1, 4, 9, 15, 6, 0, 18, 8, 5, 14, 10, 19]",exponential,200,0.005,0.001,199.86033975517245,200,1200
8,800,1163.3690986992312,0.16135217400000013,"[8, 2, 16, 13, 12, 17, 7, 9, 4, 11, 1, 15, 6, 0, 18, 3, 5, 14, 10, 19]",exponential,200,0.005,0.001,199.83871289481064,200,1200
9,900,1075.7516239921433,0.18586900699999997,"[8, 16, 2, 13, 12, 17, 11, 9, 7, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19]",exponential,200,0.005,0.001,199.81421733447033,200,1200
10,1000,1039.364833352694,0.21013167199999994,"[8, 16, 2, 12, 13, 17, 11, 7, 9, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19]",exponential,200,0.005,0.001,199.78997867764895,200,1200
11,1100,1039.364833352694,0.23532098600000007,"[8, 16, 2, 12, 13, 17, 11, 7, 9, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19]",exponential,200,0.005,0.001,199.76481739963575,200,1200
12,1200,1039.364833352694,0.2625441399999999,"[8, 16, 2, 12, 13, 17, 11, 7, 9, 1, 4, 15, 6, 0, 18, 3, 5, 14, 10, 19]",exponential,200,0.005,0.001,199.7376281081841,200,1200
13,0,2633.137458865322,0.00021314399999994293,"[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]",exponential,250,0.005,0.001,249.99973357014196,250,1200
14,100,2133.975243972829,0.024092066999999995,"[14, 17, 1, 12, 7, 9, 5, 16, 3, 18, 10, 0, 6, 11, 15, 4, 2, 8, 19, 13]",exponential,250,0.005,0.001,249.9698867300137,250,1200
15,200,1969.196152995959,0.04898853400000003,"[10, 14, 18, 9, 8, 19, 2, 13, 11, 17, 5, 16, 12, 6, 15, 4, 1, 7, 3, 0]",exponential,250,0.005,0.001,249.93877183150164,250,1200
16,300,1982.2145566268866,0.07408400599999987,"[15, 6, 1, 5, 10, 8, 3, 13, 17, 12, 7, 19, 4, 2, 16, 14, 18, 0, 9, 11]",exponential,250,0.005,0.001,249.9074121417573,250,1200
17,400,1699.9919795740639,0.10185400899999997,"[10, 1, 6, 0, 14, 5, 13, 12, 11, 7, 9, 15, 18, 3, 8, 19, 4, 17, 2, 16]",exponential,250,0.005,0.001,249.87271490274463,250,1200
18,500,1526.7487100728943,0.12833073099999992,"[1, 0, 6, 5, 10, 14, 16, 2, 11, 4, 12, 13, 17, 18, 3, 19, 8, 15, 9, 7]",exponential,250,0.005,0.001,249.83963804017085,250,1200
19,600,1337.28913798668,0.15450342699999986,"[9, 6, 0, 10, 5, 14, 16, 2, 1, 11, 12, 13, 17, 18, 3, 19, 8, 15, 4, 7]",exponential,250,0.005,0.001,249.80694529488483,250,1200
20,700,1341.6314024012675,0.18198240799999987,"[9, 6, 0, 10, 5, 14, 16, 2, 1, 11, 13, 12, 17, 3, 8, 19, 18, 15, 4, 7]",exponential,250,0.005,0.001,249.7726254511075,250,1200
21,800,1334.9984801158787,0.21016004999999982,"[9, 6, 0, 10, 14, 5, 16, 17, 11, 1, 13, 12, 2, 3, 8, 19, 18, 15, 4, 7]",exponential,250,0.005,0.001,249.73743791181363,250,1200
