,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0058465370000000405,7.0,100,0.3,300
1,1,0.021696563999999974,15.0,100,0.3,300
2,2,0.03293945699999945,15.0,100,0.3,300
3,3,0.044093901999999296,15.0,100,0.3,300
4,4,0.05572380400000032,15.0,100,0.3,300
5,5,0.06664618400000055,15.0,100,0.3,300
6,6,0.07693949700000058,15.0,100,0.3,300
7,7,0.08724295199999954,15.0,100,0.3,300
8,8,0.09801058299999976,15.0,100,0.3,300
9,9,0.1087185659999994,15.0,100,0.3,300
10,10,0.11909507299999955,18.0,100,0.3,300
11,11,0.133275671999999,18.0,100,0.3,300
12,12,0.14405291100000017,18.0,100,0.3,300
13,13,0.15569489999999941,18.0,100,0.3,300
14,14,0.16825918599999934,18.0,100,0.3,300
15,15,0.17929232599999967,18.0,100,0.3,300
16,16,0.18987794900000043,22.0,100,0.3,300
17,17,0.20038585199999925,23.0,100,0.3,300
18,18,0.21179828799999978,23.0,100,0.3,300
19,19,0.22270857799999977,23.0,100,0.3,300
20,20,0.2331731390000007,23.0,100,0.3,300
21,21,0.24372528299999896,23.0,100,0.3,300
22,22,0.2542390889999995,24.0,100,0.3,300
23,23,0.26477283799999984,24.0,100,0.3,300
24,24,0.2754132759999992,24.0,100,0.3,300
25,25,0.28607585000000046,24.0,100,0.3,300
26,26,0.30026924499999996,24.0,100,0.3,300
27,27,0.3109550640000007,24.0,100,0.3,300
28,28,0.32153226299999904,24.0,100,0.3,300
29,29,0.33296895399999915,28.0,100,0.3,300
30,30,0.3443889009999994,28.0,100,0.3,300
31,31,0.35489704200000016,28.0,100,0.3,300
32,32,0.3652839160000001,28.0,100,0.3,300
33,33,0.37591073899999916,28.0,100,0.3,300
34,34,0.38642374100000065,28.0,100,0.3,300
35,35,0.3971638190000002,28.0,100,0.3,300
36,36,0.4077461540000007,28.0,100,0.3,300
37,37,0.4181890390000005,28.0,100,0.3,300
38,38,0.42863353400000026,28.0,100,0.3,300
39,39,0.4394989219999994,28.0,100,0.3,300
40,40,0.44957642699999933,28.0,100,0.3,300
41,41,0.46047413299999906,29.0,100,0.3,300
42,42,0.47097466499999907,30.0,100,0.3,300
43,43,0.4815124749999997,30.0,100,0.3,300
44,44,0.49159922400000067,30.0,100,0.3,300
45,45,0.5030649259999995,30.0,100,0.3,300
46,46,0.5136661889999994,30.0,100,0.3,300
47,47,0.523899868,31.0,100,0.3,300
48,48,0.5345926919999995,31.0,100,0.3,300
49,49,0.5461988549999992,31.0,100,0.3,300
50,50,0.5583512349999991,31.0,100,0.3,300
51,51,0.5747388340000006,31.0,100,0.3,300
52,52,0.5866325669999997,33.0,100,0.3,300
53,53,0.5979230640000006,33.0,100,0.3,300
54,54,0.6082961589999991,33.0,100,0.3,300
55,55,0.6195834979999999,33.0,100,0.3,300
56,56,0.6304624740000007,33.0,100,0.3,300
57,57,0.641048732999999,33.0,100,0.3,300
58,58,0.6517735720000006,37.0,100,0.3,300
59,59,0.6623380039999995,37.0,100,0.3,300
60,60,0.6733925950000001,37.0,100,0.3,300
61,61,0.6838728529999996,37.0,100,0.3,300
62,62,0.6945012440000005,37.0,100,0.3,300
63,63,0.7047203719999997,37.0,100,0.3,300
64,64,0.7166139550000006,37.0,100,0.3,300
65,65,0.7273009339999996,37.0,100,0.3,300
66,66,0.7372762340000003,37.0,100,0.3,300
67,67,0.7476942150000001,37.0,100,0.3,300
68,68,0.7578984059999998,37.0,100,0.3,300
69,69,0.7680139779999999,37.0,100,0.3,300
70,70,0.7787784659999994,38.0,100,0.3,300
71,71,0.7890962040000007,38.0,100,0.3,300
72,72,0.7994518340000001,38.0,100,0.3,300
73,73,0.8097771049999993,38.0,100,0.3,300
74,74,0.8200538170000007,38.0,100,0.3,300
75,75,0.8306418930000001,38.0,100,0.3,300
76,76,0.8462920120000001,39.0,100,0.3,300
77,77,0.856511328999999,41.0,100,0.3,300
78,78,0.8676753009999993,41.0,100,0.3,300
79,79,0.8788146299999999,41.0,100,0.3,300
80,80,0.8899163680000006,41.0,100,0.3,300
81,81,0.900346998999999,41.0,100,0.3,300
82,82,0.9108196620000006,41.0,100,0.3,300
83,83,0.9212036629999991,41.0,100,0.3,300
84,84,0.9317503169999997,41.0,100,0.3,300
85,85,0.9419074319999998,41.0,100,0.3,300
86,86,0.9526165149999999,42.0,100,0.3,300
87,87,0.9632885930000006,42.0,100,0.3,300
88,88,0.9734947630000006,44.0,100,0.3,300
89,89,0.9839581369999992,44.0,100,0.3,300
90,90,0.9958696419999997,44.0,100,0.3,300
91,91,1.0068796699999991,44.0,100,0.3,300
92,92,1.0171896479999996,44.0,100,0.3,300
93,93,1.0292756610000007,44.0,100,0.3,300
94,94,1.0401911319999995,44.0,100,0.3,300
95,95,1.0513922449999997,44.0,100,0.3,300
96,96,1.0622646389999995,46.0,100,0.3,300
97,97,1.0724224090000005,46.0,100,0.3,300
98,98,1.0831645409999995,46.0,100,0.3,300
99,99,1.0935320529999997,46.0,100,0.3,300
100,100,1.1037468959999996,46.0,100,0.3,300
101,101,1.1188633260000005,49.0,100,0.3,300
102,102,1.1310770250000006,49.0,100,0.3,300
103,103,1.1433871249999994,49.0,100,0.3,300
104,104,1.1549718130000004,52.0,100,0.3,300
105,105,1.1666849150000003,52.0,100,0.3,300
106,106,1.1786729029999998,52.0,100,0.3,300
107,107,1.189655696,52.0,100,0.3,300
108,108,1.2008725730000007,52.0,100,0.3,300
109,109,1.211809248999999,52.0,100,0.3,300
110,110,1.2222091169999993,52.0,100,0.3,300
111,111,1.2327365559999999,52.0,100,0.3,300
