,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,6.0,0.00015425899999998993,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1]",0,300,0
1,10,6.0,0.007577680000000031,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1]",0,300,0
2,25,10.0,0.01139952199999994,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,300,0
3,50,10.0,0.015935507999999987,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,300,0
4,75,10.0,0.020123521000000033,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,300,0
5,100,10.0,0.025182175999999945,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,300,0
6,125,10.0,0.029617708999999937,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,300,0
7,150,10.0,0.029617708999999937,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,300,0
8,175,10.0,0.029617708999999937,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,300,0
9,200,10.0,0.029617708999999937,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,300,0
10,300,10.0,0.029617708999999937,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,300,0
