,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.00014891500000002722,7.0,5,1200
1,1,0.007468220000000025,7.0,5,1200
2,2,0.007565403000000082,7.0,5,1200
3,3,0.007655656999999927,7.0,5,1200
4,4,0.007742445000000098,8.0,5,1200
5,5,0.007828935000000037,8.0,5,1200
6,6,0.007913942999999923,8.0,5,1200
7,7,0.007995591000000024,6.0,5,1200
8,8,0.008077265999999916,6.0,5,1200
9,9,0.008163619000000066,6.0,5,1200
10,10,0.008246297999999985,6.0,5,1200
11,11,0.008327844999999945,6.0,5,1200
12,12,0.008408879999999952,6.0,5,1200
13,13,0.008490896000000081,5.0,5,1200
14,14,0.00857235200000006,5.0,5,1200
15,15,0.008652231999999982,5.0,5,1200
16,16,0.008735136000000088,6.0,5,1200
17,17,0.008817198000000026,6.0,5,1200
18,18,0.00889897400000006,6.0,5,1200
19,19,0.00897973800000007,6.0,5,1200
20,20,0.009061567999999909,6.0,5,1200
21,21,0.00914232199999998,6.0,5,1200
22,22,0.00922381799999994,6.0,5,1200
23,23,0.00930348900000011,6.0,5,1200
24,24,0.009384271000000055,6.0,5,1200
25,25,0.009465843999999946,6.0,5,1200
26,26,0.009546204000000058,6.0,5,1200
27,27,0.009625817999999953,6.0,5,1200
28,28,0.009706865000000064,6.0,5,1200
29,29,0.00976015100000005,6.0,5,1200
30,30,0.009840035999999941,7.0,5,1200
31,31,0.00991901400000006,7.0,5,1200
32,32,0.010000352000000046,7.0,5,1200
33,33,0.010080947000000062,7.0,5,1200
34,34,0.010162733000000035,7.0,5,1200
35,35,0.010221559000000102,7.0,5,1200
36,36,0.010304002999999895,7.0,5,1200
37,37,0.010385998000000063,7.0,5,1200
38,38,0.010467733999999895,7.0,5,1200
39,39,0.010547564999999981,7.0,5,1200
40,40,0.010626773999999894,7.0,5,1200
41,41,0.01070652899999991,7.0,5,1200
42,42,0.010792531999999966,7.0,5,1200
43,43,0.010875452000000063,7.0,5,1200
44,44,0.01095770000000007,7.0,5,1200
45,45,0.011039285999999926,7.0,5,1200
46,46,0.011138778999999932,6.0,5,1200
47,47,0.011271758999999992,6.0,5,1200
48,48,0.01135926899999995,6.0,5,1200
49,49,0.011443421999999925,6.0,5,1200
50,50,0.011523315000000034,7.0,5,1200
51,51,0.01161071800000002,7.0,5,1200
52,52,0.011694950000000093,7.0,5,1200
53,53,0.011779006999999897,7.0,5,1200
54,54,0.011861609999999967,7.0,5,1200
55,55,0.011943000000000037,7.0,5,1200
56,56,0.012019439999999992,12.0,5,1200
57,57,0.012098755000000017,12.0,5,1200
58,58,0.012178258999999914,12.0,5,1200
59,59,0.012262889000000055,8.0,5,1200
60,60,0.012347179999999902,8.0,5,1200
61,61,0.012427122999999929,7.0,5,1200
62,62,0.012507266000000072,7.0,5,1200
63,63,0.012589146000000051,7.0,5,1200
64,64,0.0126710619999999,7.0,5,1200
