,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.00855593199999971,12.0,100,0.05,300
1,1,0.02531521599999964,5.0,100,0.05,300
2,2,0.03976073800000002,5.0,100,0.05,300
3,3,0.056255117999999715,4.0,100,0.05,300
4,4,0.07285288499999965,4.0,100,0.05,300
5,5,0.087107563,2.0,100,0.05,300
6,6,0.1007818519999999,2.0,100,0.05,300
7,7,0.11403275099999988,2.0,100,0.05,300
8,8,0.12661145699999965,2.0,100,0.05,300
9,9,0.1393595689999998,2.0,100,0.05,300
10,10,0.15203762799999998,2.0,100,0.05,300
11,11,0.16840451499999975,1.0,100,0.05,300
12,12,0.1811508049999997,1.0,100,0.05,300
13,13,0.19411572799999988,1.0,100,0.05,300
14,14,0.207401446,1.0,100,0.05,300
15,15,0.22062979899999968,1.0,100,0.05,300
16,16,0.23466830799999983,1.0,100,0.05,300
17,17,0.24750380299999986,0.0,100,0.05,300
