,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.003512816999999835,18.0,10,0.05,300
1,1,0.014464609000000017,12.0,10,0.05,300
2,2,0.02023148000000008,12.0,10,0.05,300
3,3,0.024833156999999773,10.0,10,0.05,300
4,4,0.029087108999999778,10.0,10,0.05,300
5,5,0.03306637999999973,10.0,10,0.05,300
6,6,0.03783723799999983,7.0,10,0.05,300
7,7,0.042026863999999886,7.0,10,0.05,300
8,8,0.0466271250000001,7.0,10,0.05,300
9,9,0.05127767599999977,7.0,10,0.05,300
10,10,0.055853931000000134,7.0,10,0.05,300
11,11,0.06472277899999979,6.0,10,0.05,300
12,12,0.06936767399999999,6.0,10,0.05,300
13,13,0.07357651399999998,6.0,10,0.05,300
14,14,0.07757421200000003,6.0,10,0.05,300
15,15,0.08204144699999993,5.0,10,0.05,300
16,16,0.08607772600000008,5.0,10,0.05,300
17,17,0.09060543199999982,5.0,10,0.05,300
18,18,0.09500967299999985,5.0,10,0.05,300
19,19,0.09909620499999994,5.0,10,0.05,300
20,20,0.10356832899999979,5.0,10,0.05,300
21,21,0.1078802259999998,5.0,10,0.05,300
22,22,0.11231768899999972,5.0,10,0.05,300
23,23,0.11662286599999971,5.0,10,0.05,300
24,24,0.12077898999999981,5.0,10,0.05,300
25,25,0.1247308330000001,5.0,10,0.05,300
26,26,0.13240351299999986,5.0,10,0.05,300
27,27,0.13680573399999973,5.0,10,0.05,300
28,28,0.140806993,5.0,10,0.05,300
29,29,0.1447992469999999,5.0,10,0.05,300
30,30,0.14868747699999973,5.0,10,0.05,300
31,31,0.15289010999999997,5.0,10,0.05,300
32,32,0.15687320199999988,5.0,10,0.05,300
33,33,0.16091022200000005,5.0,10,0.05,300
34,34,0.16561179800000003,5.0,10,0.05,300
35,35,0.17050305799999999,5.0,10,0.05,300
36,36,0.17505524800000005,5.0,10,0.05,300
37,37,0.17914180899999987,5.0,10,0.05,300
38,38,0.18341273000000013,5.0,10,0.05,300
