,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,15.0,0.1013396550000003,"[44, 47, 0, 3, 3, 39, 9, 19, 21, 36, 23, 6, 24, 24, 12, 1, 38, 39, 23, 46, 24, 17, 37, 25, 13, 8, 9, 20, 16, 5, 15, 47, 0, 18, 35, 24, 49, 29, 19, 19, 14, 39, 32, 1, 9, 32, 31, 10, 23, 35]",200,0.3,32768
1,1,9.0,0.22389486100000067,"[36, 38, 49, 21, 27, 25, 29, 29, 33, 47, 9, 11, 4, 47, 11, 22, 48, 37, 8, 40, 48, 14, 40, 13, 33, 31, 12, 45, 46, 12, 12, 48, 35, 34, 28, 19, 43, 42, 43, 16, 17, 41, 22, 47, 20, 24, 33, 47, 21, 7]",200,0.3,32768
2,2,9.0,0.33285461500000046,"[36, 38, 49, 21, 27, 25, 29, 29, 33, 47, 9, 11, 4, 47, 11, 22, 48, 37, 8, 40, 48, 14, 40, 13, 33, 31, 12, 45, 46, 12, 12, 48, 35, 34, 28, 19, 43, 42, 43, 16, 17, 41, 22, 47, 20, 24, 33, 47, 21, 7]",200,0.3,32768
3,4,4.0,0.5458919730000007,"[49, 13, 27, 3, 26, 8, 46, 5, 49, 42, 46, 38, 36, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 49, 35, 30, 37, 24, 0, 18, 19, 9, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 16, 1, 20, 38]",200,0.3,32768
4,8,4.0,0.9699196890000001,"[49, 13, 27, 3, 26, 8, 46, 5, 49, 42, 46, 38, 36, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 49, 35, 30, 37, 24, 0, 18, 19, 9, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 16, 1, 20, 38]",200,0.3,32768
5,16,4.0,1.8026802160000006,"[49, 13, 27, 3, 26, 8, 46, 5, 49, 42, 46, 38, 36, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 49, 35, 30, 37, 24, 0, 18, 19, 9, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 16, 1, 20, 38]",200,0.3,32768
6,32,3.0,3.4544399210000005,"[15, 2, 35, 3, 26, 14, 44, 5, 49, 42, 46, 38, 27, 3, 31, 45, 28, 28, 4, 16, 10, 20, 44, 33, 8, 32, 49, 35, 30, 37, 24, 0, 26, 19, 9, 34, 23, 44, 18, 40, 7, 22, 36, 30, 6, 24, 16, 1, 20, 38]",200,0.3,32768
7,64,0.0,4.7048122039999996,"[9, 13, 27, 3, 26, 14, 46, 5, 49, 25, 46, 32, 27, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 2, 35, 30, 37, 24, 42, 18, 19, 38, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 34, 1, 20, 15]",200,0.3,32768
8,128,0.0,4.7048122039999996,"[9, 13, 27, 3, 26, 14, 46, 5, 49, 25, 46, 32, 27, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 2, 35, 30, 37, 24, 42, 18, 19, 38, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 34, 1, 20, 15]",200,0.3,32768
9,256,0.0,4.7048122039999996,"[9, 13, 27, 3, 26, 14, 46, 5, 49, 25, 46, 32, 27, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 2, 35, 30, 37, 24, 42, 18, 19, 38, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 34, 1, 20, 15]",200,0.3,32768
10,512,0.0,4.7048122039999996,"[9, 13, 27, 3, 26, 14, 46, 5, 49, 25, 46, 32, 27, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 2, 35, 30, 37, 24, 42, 18, 19, 38, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 34, 1, 20, 15]",200,0.3,32768
11,1024,0.0,4.7048122039999996,"[9, 13, 27, 3, 26, 14, 46, 5, 49, 25, 46, 32, 27, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 2, 35, 30, 37, 24, 42, 18, 19, 38, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 34, 1, 20, 15]",200,0.3,32768
12,2048,0.0,4.7048122039999996,"[9, 13, 27, 3, 26, 14, 46, 5, 49, 25, 46, 32, 27, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 2, 35, 30, 37, 24, 42, 18, 19, 38, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 34, 1, 20, 15]",200,0.3,32768
13,4096,0.0,4.7048122039999996,"[9, 13, 27, 3, 26, 14, 46, 5, 49, 25, 46, 32, 27, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 2, 35, 30, 37, 24, 42, 18, 19, 38, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 34, 1, 20, 15]",200,0.3,32768
14,8192,0.0,4.7048122039999996,"[9, 13, 27, 3, 26, 14, 46, 5, 49, 25, 46, 32, 27, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 2, 35, 30, 37, 24, 42, 18, 19, 38, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 34, 1, 20, 15]",200,0.3,32768
15,16384,0.0,4.7048122039999996,"[9, 13, 27, 3, 26, 14, 46, 5, 49, 25, 46, 32, 27, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 2, 35, 30, 37, 24, 42, 18, 19, 38, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 34, 1, 20, 15]",200,0.3,32768
16,32768,0.0,4.7048122039999996,"[9, 13, 27, 3, 26, 14, 46, 5, 49, 25, 46, 32, 27, 3, 39, 45, 28, 10, 4, 31, 10, 20, 44, 33, 23, 29, 2, 35, 30, 37, 24, 42, 18, 19, 38, 47, 23, 43, 18, 40, 7, 22, 36, 30, 6, 24, 34, 1, 20, 15]",200,0.3,32768
