,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,12.0,0.017405738999999976,"[5, 0, 3, 11, 3, 7, 9, 3, 5, 2, 4, 7, 6, 8, 8, 10, 1, 6, 7, 7, 8, 1, 5, 9, 8]",True,200,0.3,30
1,1,4.0,0.08986551099999973,"[0.0, 6.0, 3.0, 4.0, 9.0, 10.0, 2.0, 3.0, 0.0, 8.0, 4.0, 6.0, 10.0, 11.0, 9.0, 6.0, 3.0, 5.0, 6.0, 8.0, 11.0, 2.0, 2.0, 11.0, 10.0]",True,200,0.3,30
2,2,4.0,0.15421806299999963,"[0.0, 6.0, 3.0, 4.0, 9.0, 10.0, 2.0, 3.0, 0.0, 8.0, 4.0, 6.0, 10.0, 11.0, 9.0, 6.0, 3.0, 5.0, 6.0, 8.0, 11.0, 2.0, 2.0, 11.0, 10.0]",True,200,0.3,30
3,3,4.0,0.2165505019999996,"[0.0, 6.0, 3.0, 4.0, 9.0, 10.0, 2.0, 3.0, 0.0, 8.0, 4.0, 6.0, 10.0, 11.0, 9.0, 6.0, 3.0, 5.0, 6.0, 8.0, 11.0, 2.0, 2.0, 11.0, 10.0]",True,200,0.3,30
4,4,2.0,0.27932915199999986,"[7.0, 1.0, 0.0, 4.0, 0.0, 10.0, 11.0, 2.0, 0.0, 11.0, 10.0, 6.0, 2.0, 9.0, 8.0, 9.0, 0.0, 5.0, 9.0, 3.0, 4.0, 1.0, 4.0, 7.0, 7.0]",True,200,0.3,30
5,5,2.0,0.34267218899999996,"[7.0, 1.0, 0.0, 4.0, 0.0, 10.0, 11.0, 2.0, 0.0, 11.0, 10.0, 6.0, 2.0, 9.0, 8.0, 9.0, 0.0, 5.0, 9.0, 3.0, 4.0, 1.0, 4.0, 7.0, 7.0]",True,200,0.3,30
6,10,0.0,0.618137403,"[2.0, 7.0, 1.0, 0.0, 10.0, 5.0, 4.0, 2.0, 11.0, 11.0, 5.0, 8.0, 6.0, 8.0, 10.0, 8.0, 7.0, 4.0, 0.0, 9.0, 2.0, 7.0, 1.0, 3.0, 6.0]",True,200,0.3,30
7,15,0.0,0.618137403,"[2.0, 7.0, 1.0, 0.0, 10.0, 5.0, 4.0, 2.0, 11.0, 11.0, 5.0, 8.0, 6.0, 8.0, 10.0, 8.0, 7.0, 4.0, 0.0, 9.0, 2.0, 7.0, 1.0, 3.0, 6.0]",True,200,0.3,30
8,20,0.0,0.618137403,"[2.0, 7.0, 1.0, 0.0, 10.0, 5.0, 4.0, 2.0, 11.0, 11.0, 5.0, 8.0, 6.0, 8.0, 10.0, 8.0, 7.0, 4.0, 0.0, 9.0, 2.0, 7.0, 1.0, 3.0, 6.0]",True,200,0.3,30
9,25,0.0,0.618137403,"[2.0, 7.0, 1.0, 0.0, 10.0, 5.0, 4.0, 2.0, 11.0, 11.0, 5.0, 8.0, 6.0, 8.0, 10.0, 8.0, 7.0, 4.0, 0.0, 9.0, 2.0, 7.0, 1.0, 3.0, 6.0]",True,200,0.3,30
10,30,0.0,0.618137403,"[2.0, 7.0, 1.0, 0.0, 10.0, 5.0, 4.0, 2.0, 11.0, 11.0, 5.0, 8.0, 6.0, 8.0, 10.0, 8.0, 7.0, 4.0, 0.0, 9.0, 2.0, 7.0, 1.0, 3.0, 6.0]",True,200,0.3,30
