,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0035766960000001013,18.0,True,10,0.05,50
1,1,0.1715644209999998,15.0,True,10,0.05,50
2,2,0.3573909259999999,15.0,True,10,0.05,50
3,3,0.5556353930000002,15.0,True,10,0.05,50
4,4,0.744424065,15.0,True,10,0.05,50
5,5,0.9358421159999999,15.0,True,10,0.05,50
6,6,1.133771559,15.0,True,10,0.05,50
7,7,1.3249309219999996,15.0,True,10,0.05,50
8,8,1.5043160800000002,15.0,True,10,0.05,50
9,9,1.6774832969999998,15.0,True,10,0.05,50
10,10,1.847202442,15.0,True,10,0.05,50
11,11,2.0247317409999996,15.0,True,10,0.05,50
12,12,2.1959141509999998,15.0,True,10,0.05,50
13,13,2.368161502,15.0,True,10,0.05,50
14,14,2.540237688,15.0,True,10,0.05,50
15,15,2.709542015,15.0,True,10,0.05,50
16,16,2.877755117,15.0,True,10,0.05,50
17,17,3.0460812159999997,15.0,True,10,0.05,50
18,18,3.2199435280000004,15.0,True,10,0.05,50
19,19,3.393145431,15.0,True,10,0.05,50
20,20,3.563422725,15.0,True,10,0.05,50
21,21,3.736556194,15.0,True,10,0.05,50
22,22,3.9100887190000004,15.0,True,10,0.05,50
23,23,4.081220975000001,15.0,True,10,0.05,50
24,24,4.275456983,15.0,True,10,0.05,50
25,25,4.46024242,15.0,True,10,0.05,50
26,26,4.647989205,15.0,True,10,0.05,50
27,27,4.836956291,15.0,True,10,0.05,50
28,28,5.0105372280000005,15.0,True,10,0.05,50
29,29,5.196848284,15.0,True,10,0.05,50
30,30,5.386148572,15.0,True,10,0.05,50
31,31,5.581552954000001,15.0,True,10,0.05,50
32,32,5.762830339000001,15.0,True,10,0.05,50
33,33,5.934743757,15.0,True,10,0.05,50
34,34,6.110780500000001,15.0,True,10,0.05,50
35,35,6.281747838000001,15.0,True,10,0.05,50
36,36,6.459168874000001,15.0,True,10,0.05,50
37,37,6.639219012,15.0,True,10,0.05,50
38,38,6.832489027000001,15.0,True,10,0.05,50
39,39,7.037558774000001,15.0,True,10,0.05,50
40,40,7.210107286000001,15.0,True,10,0.05,50
41,41,7.388653595000001,15.0,True,10,0.05,50
42,42,7.58094659,15.0,True,10,0.05,50
43,43,7.769846069,15.0,True,10,0.05,50
44,44,7.95262415,15.0,True,10,0.05,50
45,45,8.140443918,15.0,True,10,0.05,50
46,46,8.339578853,15.0,True,10,0.05,50
47,47,8.518664968000001,15.0,True,10,0.05,50
48,48,8.687953178,15.0,True,10,0.05,50
49,49,8.934780203,15.0,True,10,0.05,50
50,50,9.114887662000001,15.0,True,10,0.05,50
51,51,0.003993515999999531,18.0,True,10,0.1,50
52,52,0.17421611099999978,15.0,True,10,0.1,50
53,53,0.3775391389999996,15.0,True,10,0.1,50
54,54,0.5693384930000001,15.0,True,10,0.1,50
55,55,0.757888693,15.0,True,10,0.1,50
56,56,0.9305988749999994,15.0,True,10,0.1,50
57,57,1.12780609,15.0,True,10,0.1,50
58,58,1.320273619,15.0,True,10,0.1,50
59,59,1.5008339470000003,15.0,True,10,0.1,50
60,60,1.6699450240000004,15.0,True,10,0.1,50
61,61,1.8450926279999997,15.0,True,10,0.1,50
62,62,2.017608117,15.0,True,10,0.1,50
63,63,2.1836291709999998,15.0,True,10,0.1,50
64,64,2.357797679000001,15.0,True,10,0.1,50
65,65,2.5254067849999995,15.0,True,10,0.1,50
66,66,2.713071847,15.0,True,10,0.1,50
67,67,2.8989300579999995,15.0,True,10,0.1,50
68,68,3.0710802029999993,15.0,True,10,0.1,50
69,69,3.2425629879999995,15.0,True,10,0.1,50
70,70,3.416833402,15.0,True,10,0.1,50
71,71,3.5805403879999993,15.0,True,10,0.1,50
72,72,3.7579150650000006,15.0,True,10,0.1,50
73,73,3.924374662,15.0,True,10,0.1,50
74,74,4.096716803000001,15.0,True,10,0.1,50
75,75,4.2696944000000006,15.0,True,10,0.1,50
76,76,4.436359894000001,15.0,True,10,0.1,50
