,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,18.0,0.0035766960000001013,"[0, 3, 3, 9, 19, 21, 23, 6, 24, 24, 12, 1, 23, 24, 17, 25, 13, 8, 9, 20, 16, 5, 15, 0, 18, 24, 29, 19, 19, 14, 32, 1, 9, 32, 31, 10, 23, 11, 28, 0, 0, 5, 17, 15, 4, 31, 1, 1, 11, 18]",True,10,0.05,50
1,1,15.0,0.1715644209999998,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.05,50
2,5,15.0,0.9358421159999999,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.05,50
3,10,15.0,1.847202442,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.05,50
4,20,15.0,3.563422725,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.05,50
5,30,15.0,5.386148572,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.05,50
6,50,15.0,9.114887662000001,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.05,50
7,0,18.0,0.003993515999999531,"[0, 3, 3, 9, 19, 21, 23, 6, 24, 24, 12, 1, 23, 24, 17, 25, 13, 8, 9, 20, 16, 5, 15, 0, 18, 24, 29, 19, 19, 14, 32, 1, 9, 32, 31, 10, 23, 11, 28, 0, 0, 5, 17, 15, 4, 31, 1, 1, 11, 18]",True,10,0.1,50
8,1,15.0,0.17421611099999978,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.1,50
9,5,15.0,0.9305988749999994,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.1,50
