,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.12303595799999556,29.0,True,200,0.3,30
1,1,1.1550253999999995,18.0,True,200,0.3,30
2,2,2.1995214679999933,14.0,True,200,0.3,30
3,3,3.256817194,12.0,True,200,0.3,30
4,4,4.270965853999996,12.0,True,200,0.3,30
5,5,5.523554810999997,7.0,True,200,0.3,30
6,6,6.531937396999993,7.0,True,200,0.3,30
7,7,7.566791679999994,7.0,True,200,0.3,30
8,8,8.765502558999998,7.0,True,200,0.3,30
9,9,9.997821089999995,7.0,True,200,0.3,30
10,10,11.311345198999994,7.0,True,200,0.3,30
11,11,12.755388390999997,6.0,True,200,0.3,30
12,12,14.030197094999998,6.0,True,200,0.3,30
13,13,15.181355097999997,5.0,True,200,0.3,30
14,14,16.748626056,5.0,True,200,0.3,30
15,15,17.909450696999997,5.0,True,200,0.3,30
16,16,19.753921757999997,5.0,True,200,0.3,30
17,17,20.673757738999996,4.0,True,200,0.3,30
18,18,21.754140891999995,4.0,True,200,0.3,30
19,19,23.642871570999993,4.0,True,200,0.3,30
20,20,25.54192257599999,4.0,True,200,0.3,30
21,21,27.503970126,4.0,True,200,0.3,30
22,22,29.47569954299999,4.0,True,200,0.3,30
23,23,31.430785618,4.0,True,200,0.3,30
24,24,33.426828136,4.0,True,200,0.3,30
25,25,35.38475296499999,4.0,True,200,0.3,30
26,26,37.336476769,4.0,True,200,0.3,30
27,27,39.288022772999994,4.0,True,200,0.3,30
28,28,41.247015077,4.0,True,200,0.3,30
29,29,43.210446468,4.0,True,200,0.3,30
30,30,45.17064806799999,4.0,True,200,0.3,30
