,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,15.0,0.0007157369999999386,"[44, 47, 0, 3, 3, 39, 9, 19, 21, 36, 23, 6, 24, 24, 12, 1, 38, 39, 23, 46, 24, 17, 37, 25, 13, 8, 9, 20, 16, 5, 15, 47, 0, 18, 35, 24, 49, 29, 19, 19, 14, 39, 32, 1, 9, 32, 31, 10, 23, 35]",5,3000,0
1,100,3.0,0.05884826700000012,"[44, 47, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 9, 20, 16, 5, 15, 47, 0, 18, 35, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",5,3000,0
2,200,1.0,0.11365233599999991,"[44, 47, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",5,3000,0
3,300,0.0,0.15684953000000013,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",5,3000,0
4,400,0.0,0.15684953000000013,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",5,3000,0
5,500,0.0,0.15684953000000013,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",5,3000,0
6,600,0.0,0.15684953000000013,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",5,3000,0
7,700,0.0,0.15684953000000013,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",5,3000,0
8,800,0.0,0.15684953000000013,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",5,3000,0
9,900,0.0,0.15684953000000013,"[44, 41, 0, 3, 3, 30, 9, 19, 21, 36, 22, 6, 43, 7, 12, 1, 38, 39, 23, 46, 36, 17, 37, 25, 13, 8, 45, 20, 16, 5, 15, 47, 0, 18, 5, 24, 49, 29, 11, 19, 14, 39, 32, 1, 25, 32, 31, 10, 23, 35]",5,3000,0
