,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,23.0,0.0003061249999998239,"[12, 15, 21, 0, 3, 3, 7, 9, 19, 21, 18, 4, 23, 6, 24, 24, 12, 1, 6, 7, 23, 14, 24, 17, 5, 13, 8, 9, 20, 19, 16, 19, 5, 15, 15, 0, 18, 3, 24, 17, 19, 19, 19, 14, 7, 0, 1, 9, 0, 10]",5,1900,0
1,100,6.0,0.04355864499999962,"[5, 15, 21, 0, 16, 3, 7, 9, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 14, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 7, 0, 1, 9, 0, 10]",5,1900,0
2,200,2.0,0.08386861499999965,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 14, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
3,300,1.0,0.12309482999999988,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
4,400,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
5,500,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
6,600,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
7,700,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
8,800,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
9,900,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
10,1000,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
11,1100,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
12,1200,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
13,1300,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
14,1400,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
15,1500,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
16,1600,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
17,1700,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
18,1800,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
19,1900,1.0,0.14270394899999994,"[5, 18, 21, 0, 16, 3, 7, 17, 20, 21, 18, 4, 23, 6, 3, 24, 12, 1, 6, 7, 11, 5, 11, 17, 5, 13, 8, 15, 20, 19, 16, 23, 5, 15, 10, 0, 22, 3, 24, 17, 14, 19, 1, 14, 2, 0, 1, 9, 0, 9]",5,1900,0
20,0,16.0,0.14871373299999968,"[20, 13, 16, 13, 18, 19, 17, 7, 17, 14, 3, 10, 20, 10, 1, 23, 20, 16, 10, 18, 23, 20, 16, 2, 6, 9, 2, 20, 12, 9, 21, 4, 4, 9, 10, 12, 8, 1, 5, 7, 0, 1, 3, 18, 24, 18, 20, 8, 18, 24]",5,1900,1
21,100,2.0,0.19285113799999998,"[4, 13, 1, 13, 18, 19, 17, 7, 17, 14, 7, 24, 15, 10, 1, 5, 20, 16, 10, 18, 23, 20, 16, 2, 6, 9, 6, 3, 12, 9, 21, 4, 11, 9, 10, 12, 8, 1, 5, 7, 0, 22, 3, 18, 24, 18, 20, 8, 18, 24]",5,1900,1
22,200,0.0,0.20383090499999934,"[4, 13, 1, 13, 18, 19, 17, 7, 17, 14, 7, 24, 15, 10, 1, 5, 20, 16, 10, 18, 23, 2, 16, 2, 6, 9, 6, 3, 12, 9, 21, 4, 11, 9, 10, 12, 8, 1, 5, 7, 0, 22, 3, 14, 24, 18, 20, 8, 18, 24]",5,1900,1
23,300,0.0,0.20383090499999934,"[4, 13, 1, 13, 18, 19, 17, 7, 17, 14, 7, 24, 15, 10, 1, 5, 20, 16, 10, 18, 23, 2, 16, 2, 6, 9, 6, 3, 12, 9, 21, 4, 11, 9, 10, 12, 8, 1, 5, 7, 0, 22, 3, 14, 24, 18, 20, 8, 18, 24]",5,1900,1
24,400,0.0,0.20383090499999934,"[4, 13, 1, 13, 18, 19, 17, 7, 17, 14, 7, 24, 15, 10, 1, 5, 20, 16, 10, 18, 23, 2, 16, 2, 6, 9, 6, 3, 12, 9, 21, 4, 11, 9, 10, 12, 8, 1, 5, 7, 0, 22, 3, 14, 24, 18, 20, 8, 18, 24]",5,1900,1
25,500,0.0,0.20383090499999934,"[4, 13, 1, 13, 18, 19, 17, 7, 17, 14, 7, 24, 15, 10, 1, 5, 20, 16, 10, 18, 23, 2, 16, 2, 6, 9, 6, 3, 12, 9, 21, 4, 11, 9, 10, 12, 8, 1, 5, 7, 0, 22, 3, 14, 24, 18, 20, 8, 18, 24]",5,1900,1
26,600,0.0,0.20383090499999934,"[4, 13, 1, 13, 18, 19, 17, 7, 17, 14, 7, 24, 15, 10, 1, 5, 20, 16, 10, 18, 23, 2, 16, 2, 6, 9, 6, 3, 12, 9, 21, 4, 11, 9, 10, 12, 8, 1, 5, 7, 0, 22, 3, 14, 24, 18, 20, 8, 18, 24]",5,1900,1
27,700,0.0,0.20383090499999934,"[4, 13, 1, 13, 18, 19, 17, 7, 17, 14, 7, 24, 15, 10, 1, 5, 20, 16, 10, 18, 23, 2, 16, 2, 6, 9, 6, 3, 12, 9, 21, 4, 11, 9, 10, 12, 8, 1, 5, 7, 0, 22, 3, 14, 24, 18, 20, 8, 18, 24]",5,1900,1
28,800,0.0,0.20383090499999934,"[4, 13, 1, 13, 18, 19, 17, 7, 17, 14, 7, 24, 15, 10, 1, 5, 20, 16, 10, 18, 23, 2, 16, 2, 6, 9, 6, 3, 12, 9, 21, 4, 11, 9, 10, 12, 8, 1, 5, 7, 0, 22, 3, 14, 24, 18, 20, 8, 18, 24]",5,1900,1
29,900,0.0,0.20383090499999934,"[4, 13, 1, 13, 18, 19, 17, 7, 17, 14, 7, 24, 15, 10, 1, 5, 20, 16, 10, 18, 23, 2, 16, 2, 6, 9, 6, 3, 12, 9, 21, 4, 11, 9, 10, 12, 8, 1, 5, 7, 0, 22, 3, 14, 24, 18, 20, 8, 18, 24]",5,1900,1
30,1000,0.0,0.20383090499999934,"[4, 13, 1, 13, 18, 19, 17, 7, 17, 14, 7, 24, 15, 10, 1, 5, 20, 16, 10, 18, 23, 2, 16, 2, 6, 9, 6, 3, 12, 9, 21, 4, 11, 9, 10, 12, 8, 1, 5, 7, 0, 22, 3, 14, 24, 18, 20, 8, 18, 24]",5,1900,1
