,Iteration,Time,Fitness,Restarts,max_iters,current_restart
0,0,0.000605283999998818,29.0,5,1900,0
1,1,0.004911090000000229,29.0,5,1900,0
2,2,0.00556532599999926,29.0,5,1900,0
3,3,0.006150208999997631,29.0,5,1900,0
4,4,0.00671403499999812,29.0,5,1900,0
5,5,0.0073054159999976775,29.0,5,1900,0
6,6,0.007873670999998694,29.0,5,1900,0
7,7,0.009034279999998063,28.0,5,1900,0
8,8,0.009863628999998042,28.0,5,1900,0
9,9,0.010567728999998138,28.0,5,1900,0
10,10,0.011144435999998592,28.0,5,1900,0
11,11,0.011741333999999881,28.0,5,1900,0
12,12,0.012337574000000018,28.0,5,1900,0
13,13,0.01379325699999967,25.0,5,1900,0
14,14,0.014712271999997029,25.0,5,1900,0
15,15,0.015331029999998691,25.0,5,1900,0
16,16,0.016249634999997653,25.0,5,1900,0
17,17,0.016883133000000328,25.0,5,1900,0
18,18,0.017527375000000234,25.0,5,1900,0
19,19,0.01865650999999957,24.0,5,1900,0
20,20,0.019232093999999478,24.0,5,1900,0
21,21,0.019800103999997987,24.0,5,1900,0
22,22,0.02099637899999962,23.0,5,1900,0
23,23,0.021560532999998827,23.0,5,1900,0
24,24,0.02266071499999711,21.0,5,1900,0
25,25,0.023220320000000072,21.0,5,1900,0
26,26,0.023780663000000146,21.0,5,1900,0
27,27,0.0243647559999971,21.0,5,1900,0
28,28,0.02493909699999719,21.0,5,1900,0
29,29,0.02587324699999982,21.0,5,1900,0
30,30,0.02749181699999781,18.0,5,1900,0
31,31,0.02810416099999813,18.0,5,1900,0
32,32,0.028715822999998863,18.0,5,1900,0
33,33,0.02928608799999921,18.0,5,1900,0
34,34,0.03030844599999938,18.0,5,1900,0
35,35,0.031139295999999206,18.0,5,1900,0
36,36,0.03175516099999953,18.0,5,1900,0
37,37,0.03244840600000032,18.0,5,1900,0
38,38,0.03308490599999914,18.0,5,1900,0
39,39,0.03371439500000051,18.0,5,1900,0
40,40,0.035326882999999754,17.0,5,1900,0
41,41,0.03599820699999867,17.0,5,1900,0
42,42,0.03726910800000027,16.0,5,1900,0
43,43,0.038079512999999565,16.0,5,1900,0
44,44,0.038691480999997196,16.0,5,1900,0
45,45,0.03931515899999738,16.0,5,1900,0
46,46,0.039943476999997785,16.0,5,1900,0
47,47,0.04053067199999916,16.0,5,1900,0
48,48,0.041117948000000126,16.0,5,1900,0
49,49,0.04250173899999865,15.0,5,1900,0
50,50,0.04310611100000017,15.0,5,1900,0
51,51,0.04375463999999951,15.0,5,1900,0
52,52,0.044482629999997414,15.0,5,1900,0
53,53,0.045141496999999475,15.0,5,1900,0
54,54,0.04655235099999899,14.0,5,1900,0
55,55,0.04724281899999738,14.0,5,1900,0
56,56,0.04788056199999957,14.0,5,1900,0
57,57,0.0485064539999982,14.0,5,1900,0
