,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,6.0,8.232399999985596e-05,"[4, 0, 3, 3, 3, 1, 3, 2, 4, 0]",exponential,10,0.005,0.001,9.999995883800848,10,1900
1,100,3.0,0.009957202000000054,"[3, 1, 2, 2, 2, 1, 0, 4, 4, 4]",exponential,10,0.005,0.001,9.999502152293028,10,1900
2,200,1.0,0.020838512999999947,"[2, 4, 2, 3, 2, 4, 1, 3, 4, 0]",exponential,10,0.005,0.001,9.998958128628567,10,1900
3,300,2.0,0.033162844999999885,"[4, 0, 2, 4, 1, 3, 3, 2, 0, 2]",exponential,10,0.005,0.001,9.998341995214188,10,1900
4,400,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
5,500,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
6,600,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
7,700,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
8,800,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
9,900,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
10,1000,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
11,1100,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
12,1200,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
13,1300,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
14,1400,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
15,1500,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
16,1600,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
17,1700,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
18,1800,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
19,1900,0.0,0.04401781100000002,"[1, 0, 1, 3, 2, 2, 0, 4, 2, 4]",exponential,10,0.005,0.001,9.997799351628194,10,1900
