,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,18.0,0.00040583599999988174,"[0, 3, 3, 9, 19, 21, 23, 6, 24, 24, 12, 1, 23, 24, 17, 25, 13, 8, 9, 20, 16, 5, 15, 0, 18, 24, 29, 19, 19, 14, 32, 1, 9, 32, 31, 10, 23, 11, 28, 0, 0, 5, 17, 15, 4, 31, 1, 1, 11, 18]",exponential,10,0.005,0.001,9.999979708220588,10,1900
1,100,20.0,0.07102115399999986,"[11, 18, 6, 20, 19, 31, 22, 24, 24, 24, 23, 2, 26, 26, 0, 11, 31, 25, 18, 18, 19, 8, 30, 0, 15, 23, 18, 30, 4, 21, 32, 9, 28, 32, 24, 27, 2, 30, 19, 30, 32, 23, 15, 13, 21, 7, 22, 28, 26, 1]",exponential,10,0.005,0.001,9.996449572725915,10,1900
2,200,15.0,0.13764208599999983,"[20, 18, 6, 2, 17, 31, 1, 20, 20, 19, 19, 5, 4, 22, 6, 11, 29, 3, 7, 27, 7, 8, 12, 2, 6, 2, 19, 11, 29, 21, 14, 18, 9, 12, 15, 19, 32, 28, 5, 8, 0, 6, 1, 31, 3, 9, 5, 28, 27, 0]",exponential,10,0.005,0.001,9.993120263324807,10,1900
3,300,11.0,0.20100919699999986,"[12, 5, 1, 17, 17, 16, 6, 13, 5, 19, 3, 24, 15, 22, 7, 11, 4, 30, 26, 13, 17, 31, 12, 28, 19, 29, 31, 15, 12, 1, 14, 0, 18, 27, 23, 26, 1, 20, 15, 23, 23, 22, 4, 9, 3, 17, 7, 28, 18, 24]",exponential,10,0.005,0.001,9.989954589045562,10,1900
4,400,12.0,0.2618766899999998,"[5, 5, 6, 14, 17, 16, 13, 24, 0, 8, 5, 16, 11, 22, 21, 3, 10, 21, 26, 13, 19, 14, 16, 28, 25, 8, 15, 15, 22, 15, 3, 16, 12, 12, 21, 24, 18, 27, 8, 27, 6, 22, 19, 9, 4, 2, 7, 2, 7, 24]",exponential,10,0.005,0.001,9.98691473418479,10,1900
5,500,9.0,0.326847329,"[1, 1, 21, 9, 14, 22, 0, 12, 25, 19, 20, 16, 17, 18, 21, 3, 15, 4, 2, 15, 24, 31, 32, 13, 27, 8, 15, 0, 20, 22, 5, 2, 12, 23, 28, 16, 14, 8, 8, 10, 0, 22, 0, 9, 7, 3, 7, 5, 11, 16]",exponential,10,0.005,0.001,9.98367097992569,10,1900
6,600,5.0,0.3883844249999999,"[1, 4, 7, 9, 9, 0, 19, 31, 25, 13, 11, 16, 17, 18, 0, 17, 13, 15, 14, 8, 32, 31, 26, 13, 32, 30, 15, 14, 1, 22, 18, 24, 14, 23, 28, 19, 21, 8, 10, 12, 2, 22, 26, 25, 12, 8, 28, 5, 20, 5]",exponential,10,0.005,0.001,9.980599621858442,10,1900
7,700,4.0,0.4492728079999999,"[1, 12, 5, 21, 14, 0, 9, 31, 8, 20, 30, 0, 14, 18, 0, 17, 13, 23, 19, 11, 32, 1, 26, 26, 30, 13, 25, 2, 15, 22, 10, 24, 1, 29, 17, 32, 28, 7, 4, 12, 21, 27, 3, 25, 12, 29, 28, 29, 15, 5]",exponential,10,0.005,0.001,9.977561571475118,10,1900
8,800,0.0,0.5000694879999998,"[18, 12, 5, 21, 11, 27, 23, 24, 9, 20, 6, 4, 14, 7, 6, 17, 30, 32, 0, 11, 32, 1, 32, 25, 30, 13, 7, 15, 23, 31, 27, 10, 1, 29, 19, 9, 28, 25, 16, 28, 6, 22, 3, 25, 12, 9, 3, 2, 11, 9]",exponential,10,0.005,0.001,9.975027758250354,10,1900
9,900,0.0,0.5000694879999998,"[18, 12, 5, 21, 11, 27, 23, 24, 9, 20, 6, 4, 14, 7, 6, 17, 30, 32, 0, 11, 32, 1, 32, 25, 30, 13, 7, 15, 23, 31, 27, 10, 1, 29, 19, 9, 28, 25, 16, 28, 6, 22, 3, 25, 12, 9, 3, 2, 11, 9]",exponential,10,0.005,0.001,9.975027758250354,10,1900
