,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,2385.008139095197,0.002270015999999986,"[2, 8, 4, 9, 1, 6, 7, 3, 0, 5]",50,0.2,2000
1,10,1424.2765657226948,0.06713786399999999,"[4, 6, 3, 1, 8, 0, 2, 5, 7, 9]",50,0.2,2000
2,25,1386.5637396193292,0.225822395,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
3,50,1386.5637396193292,0.363890708,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
4,75,1386.5637396193292,0.49461101900000015,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
5,100,1386.5637396193292,0.632558119,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
6,125,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
7,150,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
8,175,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
9,200,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
10,300,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
11,400,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
12,500,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
13,600,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
14,700,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
15,800,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
16,900,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
17,1000,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
18,1500,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
19,2000,1386.5637396193292,0.69893596,"[9, 4, 6, 3, 0, 2, 1, 8, 5, 7]",50,0.2,2000
