,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,7247.8771106265995,0.00016010899999940875,"[2, 28, 13, 10, 26, 24, 27, 11, 17, 22, 5, 16, 8, 14, 23, 20, 1, 29, 6, 4, 18, 19, 9, 7, 25, 3, 0, 21, 15, 12]",0,2000,0
1,10,6551.172759616683,0.00540959799999996,"[2, 28, 13, 10, 26, 24, 3, 11, 7, 22, 5, 16, 8, 14, 23, 20, 1, 29, 6, 4, 18, 19, 9, 17, 21, 27, 0, 25, 15, 12]",0,2000,0
2,25,5829.404540018829,0.010780755999999947,"[2, 28, 12, 10, 29, 13, 3, 11, 7, 22, 5, 16, 8, 14, 23, 6, 1, 26, 20, 4, 18, 19, 9, 17, 21, 27, 0, 25, 15, 24]",0,2000,0
3,50,5235.814742981398,0.01704045999999959,"[15, 28, 12, 22, 29, 13, 3, 11, 7, 10, 2, 16, 21, 14, 23, 6, 1, 26, 20, 17, 18, 19, 9, 4, 8, 27, 0, 25, 5, 24]",0,2000,0
4,75,4860.623904586259,0.023634674999999383,"[5, 28, 12, 16, 29, 23, 3, 11, 7, 10, 2, 22, 21, 14, 1, 6, 13, 26, 20, 17, 18, 4, 19, 9, 8, 27, 0, 25, 15, 24]",0,2000,0
5,100,4841.823141937979,0.03023036999999995,"[5, 28, 12, 16, 29, 23, 3, 11, 7, 10, 2, 22, 21, 14, 1, 6, 9, 26, 20, 17, 18, 4, 19, 13, 8, 27, 0, 25, 15, 24]",0,2000,0
6,125,4645.433584897042,0.037067782999999466,"[5, 28, 12, 23, 29, 19, 3, 11, 4, 10, 2, 22, 21, 14, 1, 26, 9, 6, 20, 17, 18, 7, 16, 13, 8, 27, 0, 15, 25, 24]",0,2000,0
7,150,4408.785266370243,0.043977542999999564,"[10, 28, 12, 23, 29, 19, 3, 11, 4, 5, 2, 22, 13, 1, 14, 26, 9, 6, 20, 17, 18, 7, 16, 27, 8, 21, 0, 24, 25, 15]",0,2000,0
8,175,3880.840372248765,0.05112563699999928,"[10, 28, 12, 23, 26, 19, 3, 11, 4, 5, 2, 29, 13, 21, 14, 22, 9, 6, 17, 20, 18, 7, 0, 27, 8, 1, 16, 24, 25, 15]",0,2000,0
9,200,3880.840372248765,0.05812668499999951,"[10, 28, 12, 23, 26, 19, 3, 11, 4, 5, 2, 29, 13, 21, 14, 22, 9, 6, 17, 20, 18, 7, 0, 27, 8, 1, 16, 24, 25, 15]",0,2000,0
10,300,3856.1727211528582,0.07456227399999982,"[15, 28, 12, 23, 26, 19, 3, 11, 4, 5, 2, 29, 13, 21, 14, 22, 9, 6, 17, 20, 18, 7, 0, 27, 8, 1, 16, 24, 25, 10]",0,2000,0
11,400,3847.3410850913756,0.09070005199999986,"[15, 28, 12, 23, 26, 0, 3, 11, 4, 5, 2, 29, 13, 21, 14, 22, 9, 6, 17, 20, 18, 7, 19, 27, 8, 1, 16, 24, 25, 10]",0,2000,0
12,500,3770.2625787266784,0.1080222580000001,"[15, 28, 12, 23, 26, 0, 3, 11, 4, 5, 2, 29, 13, 27, 16, 22, 9, 6, 7, 20, 17, 18, 19, 21, 8, 1, 14, 24, 25, 10]",0,2000,0
13,600,3768.392272172572,0.12681392499999955,"[15, 28, 12, 23, 26, 0, 3, 11, 4, 5, 2, 22, 13, 27, 16, 29, 9, 6, 7, 20, 17, 18, 19, 21, 8, 1, 14, 24, 25, 10]",0,2000,0
14,700,3768.392272172572,0.1349040729999995,"[15, 28, 12, 23, 26, 0, 3, 11, 4, 5, 2, 22, 13, 27, 16, 29, 9, 6, 7, 20, 17, 18, 19, 21, 8, 1, 14, 24, 25, 10]",0,2000,0
15,800,3768.392272172572,0.1349040729999995,"[15, 28, 12, 23, 26, 0, 3, 11, 4, 5, 2, 22, 13, 27, 16, 29, 9, 6, 7, 20, 17, 18, 19, 21, 8, 1, 14, 24, 25, 10]",0,2000,0
16,900,3768.392272172572,0.1349040729999995,"[15, 28, 12, 23, 26, 0, 3, 11, 4, 5, 2, 22, 13, 27, 16, 29, 9, 6, 7, 20, 17, 18, 19, 21, 8, 1, 14, 24, 25, 10]",0,2000,0
17,1000,3768.392272172572,0.1349040729999995,"[15, 28, 12, 23, 26, 0, 3, 11, 4, 5, 2, 22, 13, 27, 16, 29, 9, 6, 7, 20, 17, 18, 19, 21, 8, 1, 14, 24, 25, 10]",0,2000,0
18,1500,3768.392272172572,0.1349040729999995,"[15, 28, 12, 23, 26, 0, 3, 11, 4, 5, 2, 22, 13, 27, 16, 29, 9, 6, 7, 20, 17, 18, 19, 21, 8, 1, 14, 24, 25, 10]",0,2000,0
19,2000,3768.392272172572,0.1349040729999995,"[15, 28, 12, 23, 26, 0, 3, 11, 4, 5, 2, 22, 13, 27, 16, 29, 9, 6, 7, 20, 17, 18, 19, 21, 8, 1, 14, 24, 25, 10]",0,2000,0
