,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,13130.134083610645,0.0002036059999994677,"[28, 11, 10, 41, 2, 27, 38, 31, 22, 4, 33, 35, 26, 34, 18, 7, 14, 45, 48, 29, 15, 30, 32, 16, 42, 20, 43, 8, 13, 25, 5, 17, 40, 49, 1, 12, 37, 24, 6, 23, 36, 21, 19, 9, 39, 46, 3, 0, 47, 44]",exponential,50,0.005,0.001,49.99994909852591,50,2000
1,10,12576.325572376429,0.005493970999999931,"[28, 11, 5, 41, 2, 27, 38, 31, 22, 4, 33, 35, 26, 25, 18, 7, 14, 45, 39, 29, 15, 30, 0, 16, 42, 20, 43, 8, 13, 34, 10, 17, 40, 49, 1, 12, 37, 24, 6, 23, 36, 21, 19, 9, 48, 46, 3, 32, 47, 44]",exponential,50,0.005,0.001,49.99862652611465,50,2000
2,25,10836.34039419714,0.011928322000002822,"[28, 11, 20, 41, 2, 18, 38, 31, 36, 4, 29, 35, 26, 25, 34, 7, 14, 45, 39, 0, 15, 30, 33, 16, 42, 37, 43, 8, 13, 27, 10, 17, 40, 49, 1, 12, 5, 6, 24, 23, 22, 21, 19, 9, 32, 46, 3, 48, 47, 44]",exponential,50,0.005,0.001,49.997018008426274,50,2000
3,50,10662.880607274865,0.019092403999998453,"[28, 11, 20, 41, 2, 15, 38, 31, 36, 4, 29, 35, 3, 25, 34, 7, 5, 45, 37, 30, 18, 0, 21, 16, 42, 39, 43, 8, 13, 27, 10, 17, 40, 49, 1, 12, 14, 6, 24, 23, 22, 33, 19, 9, 32, 46, 26, 48, 47, 44]",exponential,50,0.005,0.001,49.99522712681768,50,2000
4,75,10422.537672392746,0.026910231999998757,"[28, 11, 20, 41, 2, 15, 38, 31, 36, 27, 16, 35, 3, 25, 49, 33, 10, 45, 37, 30, 42, 0, 21, 29, 18, 39, 43, 8, 13, 4, 5, 17, 40, 22, 1, 12, 48, 6, 23, 24, 34, 7, 19, 9, 32, 46, 26, 14, 47, 44]",exponential,50,0.005,0.001,49.99327289458007,50,2000
5,100,9600.960507974782,0.03475744100000355,"[30, 11, 20, 41, 43, 15, 38, 31, 36, 27, 16, 35, 2, 25, 49, 33, 10, 45, 37, 42, 28, 0, 21, 19, 18, 5, 3, 46, 13, 4, 39, 17, 47, 22, 1, 12, 48, 6, 23, 24, 34, 7, 29, 9, 32, 8, 26, 14, 40, 44]",exponential,50,0.005,0.001,49.991311394756075,50,2000
6,125,9244.710446299196,0.043299044000001174,"[30, 11, 20, 41, 43, 15, 38, 31, 36, 27, 16, 35, 32, 25, 49, 33, 10, 45, 37, 18, 28, 0, 21, 19, 42, 5, 3, 46, 13, 4, 39, 17, 47, 22, 26, 12, 48, 6, 23, 14, 34, 7, 29, 9, 2, 8, 1, 24, 40, 44]",exponential,50,0.005,0.001,49.98917641066995,50,2000
7,150,9126.915929588093,0.05103451400000125,"[30, 11, 20, 41, 43, 15, 38, 31, 36, 27, 16, 35, 32, 25, 33, 49, 28, 45, 37, 18, 10, 0, 21, 19, 7, 5, 3, 46, 13, 4, 39, 17, 47, 22, 26, 12, 48, 6, 23, 14, 34, 42, 29, 9, 2, 8, 1, 24, 40, 44]",exponential,50,0.005,0.001,49.987242999187565,50,2000
8,175,8388.124221210193,0.05911140300000284,"[30, 44, 20, 41, 5, 15, 38, 31, 36, 27, 42, 35, 28, 25, 33, 49, 32, 45, 4, 18, 10, 0, 21, 14, 7, 43, 3, 46, 13, 37, 39, 17, 47, 22, 26, 12, 48, 6, 23, 19, 34, 16, 29, 9, 2, 8, 1, 24, 40, 11]",exponential,50,0.005,0.001,49.98522433288359,50,2000
9,200,8341.659689367836,0.06704450200000167,"[28, 44, 20, 41, 5, 15, 38, 31, 36, 27, 29, 35, 30, 25, 33, 49, 32, 45, 4, 18, 10, 0, 21, 14, 7, 34, 3, 46, 13, 37, 39, 17, 47, 22, 26, 12, 48, 6, 23, 19, 43, 16, 42, 9, 2, 8, 1, 24, 40, 11]",exponential,50,0.005,0.001,49.98324168353939,50,2000
10,300,7604.993943309397,0.08822512600000465,"[49, 37, 20, 41, 15, 7, 38, 31, 39, 32, 29, 27, 30, 25, 33, 28, 44, 16, 4, 18, 10, 0, 24, 14, 45, 26, 3, 46, 13, 35, 36, 47, 17, 22, 34, 48, 12, 6, 23, 19, 43, 5, 42, 9, 2, 8, 1, 21, 40, 11]",exponential,50,0.005,0.001,49.97794858258028,50,2000
11,400,7219.6435969491995,0.1088290040000004,"[49, 25, 20, 41, 15, 31, 38, 7, 39, 32, 29, 27, 48, 37, 33, 28, 44, 18, 4, 16, 10, 0, 24, 14, 45, 26, 3, 46, 13, 9, 23, 47, 17, 36, 34, 30, 12, 6, 22, 19, 43, 2, 42, 35, 5, 8, 1, 21, 40, 11]",exponential,50,0.005,0.001,49.972800150002605,50,2000
12,500,6817.826177953467,0.13052709600000156,"[49, 25, 20, 41, 15, 31, 38, 7, 39, 12, 9, 27, 16, 37, 33, 28, 44, 18, 4, 48, 2, 0, 24, 14, 45, 26, 3, 46, 13, 29, 32, 47, 17, 36, 11, 30, 23, 6, 22, 19, 43, 34, 42, 35, 5, 8, 1, 21, 40, 10]",exponential,50,0.005,0.001,49.967378872010634,50,2000
13,600,6790.9321639719665,0.15216912500000035,"[49, 25, 20, 41, 15, 31, 38, 7, 39, 12, 9, 27, 16, 37, 33, 28, 44, 18, 4, 48, 2, 0, 24, 14, 45, 26, 3, 46, 13, 29, 42, 47, 17, 36, 11, 30, 23, 6, 22, 19, 43, 34, 32, 35, 5, 8, 1, 21, 40, 10]",exponential,50,0.005,0.001,49.961972187231964,50,2000
14,700,6765.802920656547,0.17562266299999862,"[49, 25, 20, 41, 15, 31, 38, 7, 39, 12, 9, 27, 16, 37, 33, 28, 44, 18, 4, 48, 14, 0, 24, 2, 45, 26, 3, 46, 13, 29, 42, 17, 47, 36, 11, 30, 23, 6, 22, 19, 34, 43, 32, 35, 5, 8, 1, 21, 40, 10]",exponential,50,0.005,0.001,49.956113605683605,50,2000
15,800,6433.257397589182,0.20109205100000338,"[49, 25, 20, 41, 15, 31, 38, 7, 39, 12, 9, 42, 48, 37, 33, 28, 44, 18, 4, 16, 14, 1, 24, 2, 45, 26, 35, 46, 13, 29, 27, 17, 47, 36, 11, 30, 23, 6, 22, 19, 34, 43, 32, 3, 5, 8, 0, 21, 40, 10]",exponential,50,0.005,0.001,49.94975225253965,50,2000
16,900,6196.77458646138,0.22692121600000092,"[49, 25, 20, 41, 15, 31, 38, 7, 39, 12, 9, 35, 48, 37, 33, 28, 44, 18, 4, 5, 14, 1, 24, 8, 45, 26, 42, 46, 13, 29, 27, 17, 47, 36, 11, 30, 23, 6, 22, 19, 34, 43, 32, 3, 16, 2, 0, 21, 40, 10]",exponential,50,0.005,0.001,49.943301867105596,50,2000
